,agent0,agent1,agent0_reward,agent1_reward,num_matches
0,SID,SID,-92.9860122372125,-93.15902261783533,20
1,SID,alphacar,-86.99007026547665,576.1486407184111,20
2,SID,zhenghao,-68.03298748800358,583.5398286021293,20
0,alphacar,alphacar,647.3407658742946,632.5380898744945,20
1,alphacar,zhenghao,634.0316729390299,650.8386297441393,20
0,zhenghao,zhenghao,683.5529350105987,710.6107801470755,20
